date,name,sport,dist,time,elev,re
2025-09-03,Carrera de noche,Run,5286.3,1674,75,48
2025-09-04,Carrera de noche,Run,7021.2,2286,57,62
2025-09-06,Carrera de manana,Run,5343.1,1699,86,78
2025-09-08,Carrera de noche,Run,10006.8,3114,102,98
2025-09-09,Carrera de noche,Run,5315.5,1451,23,42
2025-09-11,Carrera de manana,Run,7003.9,2247,98,55
2025-09-12,Carrera almuerzo,Run,7334.7,2751,88,44
2025-09-14,Carrera de noche,Run,10005,3112,46,84
2025-09-16,Carrera de manana,Run,9003.8,2854,144,84
2025-09-18,Carrera de manana,Run,6011.8,1618,90,72
2025-09-19,Excursion,Hike,9039.3,13470,1029,72
2025-09-22,Carrera de manana,Run,9008.5,2562,59,62
2025-09-23,Fartlek 6x3x2,Run,7972.6,2405,44,59
2025-09-25,Carrera de noche,Run,8000.4,2509,139,35
2025-09-26,hills,Run,6591.8,2606,222,54
2025-09-28,Carrera de manana,Run,14016.2,4095,79,135
2025-10-01,Carrera de manana,Run,6308.9,2220,97,19
2025-10-03,Fartlek Sueco 5x4x3,Run,10000.9,2861,0,74
2025-10-05,Stockholm runclub,Run,21013.8,6787,139,93
2025-10-07,Rodaje,Run,8010.6,2614,41,32
2025-10-07,Pesas,WeightTraining,0,1056,0,2
2025-10-08,2km+(4x1km)+1km,Run,7350.3,2281,38,50
2025-10-10,Carrera almuerzo,Run,6078.5,1802,94,40
2025-10-16,Carrera de noche,Run,7585.6,2703,120,16
2025-10-17,Carrera de manana,Run,10008.6,3369,52,27
2025-10-21,Carrera almuerzo,Run,12011.1,3839,239,109
2025-10-22,Series 2km+6x400+2km,Run,7114.9,2482,24,32
2025-10-24,Carrera almuerzo,Run,7081.7,2070,40,45
2025-10-25,El Tast 10K RACE,Run,10033.5,2382,8,125
2025-10-30,Fartlek 2+4(5+3)+2,Run,10093.9,3104,59,61
2025-10-31,Rodaje,Run,7017.8,2407,88,17
2025-11-01,Carrera almuerzo,Run,15009.3,4852,123,89
2025-11-03,Carrera de tarde,Run,11008.1,3256,132,44
2025-11-06,Series 2000+1000+500+1000,Run,8014.8,2803,26,47
2025-11-07,Easy easy run,Run,8005.6,2740,43,11
2025-11-08,Progressive Long Run,Run,16004.9,4820,100,78
2025-11-11,Easy run,Run,11147.1,3597,135,38
2025-11-12,series 10x400,Run,8873.9,3010,35,59
2025-11-14,Pinchos y easy run,Run,8005.6,2737,17,22
2025-11-16,Long run Donosti 12k+5k tempo,Run,17003.1,5293,72,54
2025-11-18,Carrera de manana,Run,9010,3002,57,14
2025-11-19,Fartlek matutino,Run,8007,2182,9,57
2025-11-21,Carrera almuerzo,Run,9006.4,2797,138,25
2025-11-22,Lunch Run descarga,Run,10072.4,2947,60,45
2025-11-24,Easy run de Lunes,Run,11012.7,3395,78,31
2025-11-26,Intento de series,Run,6206.5,1825,11,45
2025-11-28,tempo 4k,Run,11030.3,3143,67,75
2025-11-30,Long run de domingo,Run,18009.1,5374,108,115
2025-12-02,Easy,Run,8004.7,2691,39,11
2025-12-03,Series 4x800+4x400+2x200,Run,10381.5,3661,42,53
2025-12-09,Easy de Martes,Run,9342.6,2939,142,30
2025-12-10,Carrera almuerzo,Run,6823.3,2024,32,54
2025-12-11,Carrera de manana,Run,6071,2149,72,11
2025-12-12,Puigsacalm,Hike,7784.6,7331,548,21
2025-12-14,Carrera de tarde,Run,15091.1,4404,158,105
2025-12-16,Training camp,Run,10818.3,2863,75,99
2025-12-17,Carrera de manana,Run,11006.2,3561,86,18
2025-12-18,Series en altura 6x800,Run,8155.8,3126,0,50
2025-12-19,Cambre d Aze,Hike,10560.7,13960,1008,54
2025-12-21,Carrera almuerzo,Run,16455.4,4845,94,72
2025-12-23,rainy run,Run,11009.1,3445,102,34
2025-12-24,2x1600+2x800,Run,8500.9,2650,12,56
2025-12-28,Ultimo long run del ano,Run,19009.1,5584,50,146
2025-12-29,Carrera de tarde,Run,8041.2,2638,60,16
2025-12-31,Ultimas series 4x2000,Run,11655.2,3601,15,73
2026-01-02,Carrera almuerzo,Run,8348.8,2693,149,46
2026-01-06,Carrera almuerzo,Run,10004.8,2920,141,73
2026-01-07,Series 3x3000 r3,Run,12032.2,3406,27,114
2026-01-09,Carrera de tarde,Run,8387.9,2613,75,13
2026-01-11,Carrera de manana,Run,12012,3413,65,47
2026-01-13,Carrera almuerzo,Run,6055.5,1800,86,45
2026-01-14,Activando pre Mitja,Run,6139.3,1906,22,18
2026-01-16,Ultimo rodaje,Run,5776.6,1842,60,12
2026-01-18,Calentamiento,Run,1816.1,706,3,2
2026-01-18,LA MITJA RACE,Run,21192.4,5037,171,218
