date,sport,dist,time,elev,re
2026-01-22,Run,6726,2123,42,20
2026-01-28,Run,8068.7,2398,69,54
2026-02-09,Ride,13584.4,4386,542,113
2026-02-12,Ride,30288.8,7283,681,159
2026-02-20,Ride,31612.1,6868,668,140
2026-02-23,Run,5642,1717,32,37
2026-03-13,Run,4225.8,1398,90,42
2026-03-23,Run,3013.8,1010,20,6
2026-04-04,Run,2142.1,753,14,6
2026-04-28,Run,6004.8,2175,104,33
2026-05-04,Run,5512.1,1652,28,45
2026-05-06,Run,6817.2,2353,40,35
2026-05-08,Run,7003,2261,62,47
2026-05-10,Run,6019,2143,46,17
2026-05-13,Run,7008.5,2191,100,63
2026-05-14,Run,7396.4,2615,44,13
2026-05-17,Run,6013.5,2221,87,19
2026-05-19,Run,7662.4,2267,96,62
2026-05-20,Run,5711.1,1963,30,17
2026-05-23,Hike,22168.4,21283,1320,128
2026-06-02,Run,8111.1,2860,170,47
2026-06-09,Run,5010.7,1587,33,32
2026-07-10,Run,5263.5,1803,20,16
2026-07-19,Run,5030.4,1688,90,15
2026-07-22,Run,6009,1806,32,44
2026-07-25,Hike,7212.7,7711,817,43
2026-07-26,Hike,13461.8,10827,446,58
2026-08-01,Hike,2938.9,3537,488,25
2026-08-02,Hike,10179.1,13985,680,46
2026-08-06,Run,4010.6,1198,50,27
2026-08-06,Run,4076,1371,86,47
2026-08-08,Run,6181.8,2041,51,35
2026-08-10,Run,4295.9,1356,53,14
2026-08-11,Run,6809.9,2163,73,24
2026-08-16,Run,5395.3,1746,52,31
2026-08-18,Run,8160.3,2316,68,139
2026-08-20,Run,10094.3,3272,169,57
